# accuracy_goal: 1e-06
#                  sigma                     qmin                     qmax                optimal_a              min_samples            best_integral      best_integral_qmin0          finite_integral            full_integral      rel_err_best-finite        rel_err_best-full   rel_err_bestqmin0_best   rel_err_bestqmin0_full
4.899999999999999911e-01 2.912943441807574335e-02 2.123829933061537290e+01 4.099999999999999645e+00 1.300000000000000000e+01 2.375330570395360608e-02 2.375628424495213054e-02 2.375327278109519782e-02 2.375329506209957267e-02 1.386034619804250429e-06 4.480159070808337701e-07 1.253947991764656721e-04 1.258428712624112085e-04
5.000000000000000000e-01 2.654810049075505968e-02 2.284648048261862741e+01 3.500000000000000444e+00 1.300000000000000000e+01 2.483545461944737173e-02 2.483705862123279304e-02 2.483540561312281084e-02 2.483542994115027838e-02 1.973244380393842010e-06 9.936730369406732121e-07 6.458515899947704262e-05 6.557889621294879815e-05
5.100000000000000089e-01 2.398693656257656556e-02 2.478022377720294855e+01 1.910000000000000142e+01 9.000000000000000000e+00 2.599025499016574536e-02 1.861365957922297976e-02 2.599021997182680496e-02 2.599024461021131119e-02 1.347366008381648851e-06 3.993788665650805435e-07 2.838215867344872079e-01 2.838213007079642414e-01
5.200000000000000178e-01 2.182595333907915922e-02 2.667843329249873463e+01 4.299999999999999822e+00 1.300000000000000000e+01 2.722324095978412989e-02 2.722637757572451619e-02 2.722321953740892975e-02 2.722324653492161003e-02 7.869155656150157608e-07 2.047932627357406236e-07 1.152183145651140763e-04 1.150134977064437716e-04
5.300000000000000266e-01 1.968430929883893676e-02 2.896631035823221723e+01 3.600000000000000089e+00 1.300000000000000000e+01 2.854039302780326387e-02 2.854359607600908538e-02 2.854039060156448801e-02 2.854041806455520983e-02 8.501070674649470074e-08 8.772384444168158666e-07 1.122285948445486149e-04 1.113512579488938376e-04
5.400000000000000355e-01 1.773584455204839372e-02 3.146788718060927437e+01 4.399999999999999467e+00 1.300000000000000000e+01 2.994825406987908570e-02 2.995075170758524849e-02 2.994823302305569049e-02 2.994826102627658887e-02 7.027734617600639921e-07 2.322805152882878503e-07 8.339844120244823658e-05 8.316614131532704438e-05
5.500000000000000444e-01 1.609845533880924565e-02 3.392092068133170812e+01 3.700000000000000178e+00 1.300000000000000000e+01 3.145383968352185450e-02 3.145715251434586662e-02 3.145381500061420615e-02 3.145384585204607369e-02 7.847349406697240561e-07 1.961135133748805684e-07 1.053235743980618778e-04 1.051274402293107807e-04
5.600000000000000533e-01 1.447887862396906450e-02 3.688719006701013114e+01 4.500000000000000000e+00 1.300000000000000000e+01 3.306485406437633529e-02 3.306615317228664419e-02 3.306483413597084003e-02 3.306486572950469160e-02 6.027069548663182896e-07 3.527952737431046926e-07 3.928969133750232390e-05 3.893688220254180746e-05
5.700000000000000622e-01 1.301000562033731781e-02 4.013450966860088442e+01 3.800000000000000266e+00 1.300000000000000000e+01 3.478971018682402300e-02 3.479283394226771048e-02 3.478966389610827631e-02 3.478969632464067735e-02 1.330588185184129120e-06 3.984565779560816166e-07 8.978963684700505294e-05 9.018812920223256936e-05
5.800000000000000711e-01 1.178040405022977646e-02 4.331581460362138358e+01 4.599999999999999645e+00 1.300000000000000000e+01 3.663744291189314356e-02 3.663723429263296416e-02 3.663742577179691234e-02 3.663746168734492714e-02 4.678302547230411369e-07 5.124659547598166345e-07 5.694154493289639988e-06 6.206617529989137504e-06
5.899999999999999689e-01 1.056657807925702811e-02 4.717477257997185802e+01 4.599999999999999645e+00 1.300000000000000000e+01 3.861813123461534103e-02 3.861574698632093405e-02 3.861807000321730576e-02 3.861810702196836337e-02 1.585563391183585693e-06 6.269765362628447006e-07 6.173909037498574715e-05 6.111215254768393747e-05
5.999999999999999778e-01 9.469064150613227746e-03 5.140447336904451703e+01 4.700000000000000178e+00 1.300000000000000000e+01 4.074245426768180467e-02 4.074038183401444690e-02 4.074244084280392170e-02 4.074247908468162094e-02 3.295059796434310182e-07 6.091185508051006592e-07 5.086668696347250695e-05 5.147577453043495726e-05
6.099999999999999867e-01 8.553732235252603511e-03 5.554467059154186614e+01 4.700000000000000178e+00 1.300000000000000000e+01 4.302243829371520806e-02 4.301871773449351261e-02 4.302237248747593779e-02 4.302241505891716417e-02 1.529581830695841467e-06 5.400626164773148647e-07 8.647950625892251606e-05 8.593949034679362387e-05
6.199999999999999956e-01 7.651944875127283073e-03 6.058185534018071650e+01 8.290000000000000568e+01 9.000000000000000000e+00 4.547085075093652146e-02 7.595118042473544828e-02 4.547079670401423662e-02 4.547084086070973113e-02 1.188607330472890715e-06 2.175070133542890640e-07 6.703267955278173762e-01 6.703271588356100041e-01
6.300000000000000044e-01 6.839003354195904126e-03 6.610955343305886345e+01 9.599999999999999645e+00 9.000000000000000000e+00 4.810184670563748266e-02 4.528349711639398367e-02 4.810183403729826473e-02 4.810187993876887530e-02 2.633649936944592886e-07 6.908904898300106968e-07 5.859129705540373073e-02 5.859194746572363860e-02
6.400000000000000133e-01 6.106898888236382376e-03 7.217806432891815405e+01 6.979999999999999716e+01 9.000000000000000000e+00 5.093098645515283657e-02 7.320832048554663796e-02 5.093092594235139325e-02 5.093097376124379461e-02 1.188134720185678153e-06 2.492375092113472046e-07 4.374023670248377571e-01 4.374027252794234211e-01
6.500000000000000222e-01 5.499176165771986133e-03 7.811303825551060243e+01 4.900000000000000355e+00 1.300000000000000000e+01 5.397503882378632684e-02 5.396961841166632995e-02 5.397496173052644675e-02 5.397501532421580123e-02 1.428315230031716436e-06 4.353786726034720363e-07 1.004244228094590744e-04 9.998908785950750536e-05
